filename,Latitude,Longitude,Depth,sample_type,Cruise,Instrument,tag1,tag2,tag3
D20240403T215809_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T222203_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T225427_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T231822_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240403T234216_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T000610_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T003004_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T005359_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T011753_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T014148_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T020542_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T022936_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T025331_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T031725_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T034119_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T040513_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T042908_IFCB206,35.954,-75.121,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T045302_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
D20240404T051657_IFCB206,35.954,-75.12,3,underway,AR82,IFCB206,site_CP10CNSM,targetdepth_surface,
