Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast,Datetime,lookTime,get_runSampleFast_Int,runSampleFast_Int,flowRate_mins,volumeAnalyzed
D20240418T035652_IFCB206,ar82b_underway,3954,3230,1201.9593055555556,330.38628472222223,5,20,18.345333791103997,5,31,False,2024-04-18 03:56:05,871.5730208333334,1,1,0.25,3.6315542534722227
D20240418T042047_IFCB206,ar82b_underway,3447,3053,1200.816111111111,287.8514930555556,5,20,18.450117494468607,5,32,False,2024-04-18 04:20:04,912.9646180555554,1,1,0.25,3.8040192418981476
D20240418T044441_IFCB206,ar82b_underway,3606,3201,1201.7554166666666,300.9015277777778,5,20,18.2372236209659,5,33,False,2024-04-18 04:44:04,900.8538888888888,1,1,0.25,3.7535578703703707
D20240418T050835_IFCB206,ar82b_underway,3264,2887,1200.9995833333332,272.3265798611111,5,20,18.238886854352643,5,34,False,2024-04-18 05:08:03,928.6730034722221,1,1,0.25,3.869470847800925
D20240418T053229_IFCB206,ar82b_underway,2473,2316,1200.9886111111111,206.59590277777775,5,20,18.2372236209659,5,35,False,2024-04-18 05:32:02,994.3927083333334,1,1,0.25,4.143302951388889
D20240418T055624_IFCB206,ar82b_underway,1469,1395,1200.982638888889,122.60266493055556,5,20,17.917882810711838,5,36,False,2024-04-18 05:56:02,1078.3799739583333,1,1,0.25,4.493249891493055
D20240418T062018_IFCB206,ar82b_underway,1434,1378,1200.89875,119.69532118055557,5,20,17.598542000457776,5,37,False,2024-04-18 06:20:01,1081.2034288194445,1,1,0.25,4.505014286747685
D20240418T064412_IFCB206,ar82b_underway,1397,1342,1201.0229166666666,116.51131944444444,5,20,17.38564812695507,5,38,False,2024-04-18 06:44:01,1084.511597222222,1,1,0.25,4.518798321759259
D20240418T070806_IFCB206,ar82b_underway,2182,2060,1200.933611111111,182.2559375,5,20,17.493758297093166,5,39,False,2024-04-18 07:08:00,1018.6776736111111,1,1,0.25,4.244490306712963
D20240418T073200_IFCB206,ar82b_underway,2634,2434,1200.9668055555555,219.92984375,5,20,17.598542000457776,5,40,False,2024-04-18 07:32:00,981.0369618055555,1,1,0.25,4.087654007523148
D20240418T075555_IFCB206,ar82b_underway,3166,2748,1200.992638888889,264.89819444444447,5,20,17.60020523384452,5,41,False,2024-04-18 07:55:05,936.0944444444444,1,1,0.25,3.9003935185185186
D20240418T081949_IFCB206,ar82b_underway,3454,2849,1200.9590277777777,288.3984722222222,5,20,17.813099107347227,5,42,False,2024-04-18 08:19:04,912.5605555555555,1,1,0.25,3.8023356481481487
D20240418T084343_IFCB206,ar82b_underway,3182,2566,1200.9288888888889,266.2641493055556,5,20,17.917882810711838,5,43,False,2024-04-18 08:43:04,934.6647395833334,1,1,0.25,3.8944364149305555
D20240418T090737_IFCB206,ar82b_underway,3252,2631,1201.0344444444445,271.58118055555553,5,20,17.917882810711838,5,44,False,2024-04-18 09:07:03,929.453263888889,1,1,0.25,3.8727219328703706
D20240418T093132_IFCB206,ar82b_underway,3067,2517,1200.9172222222223,256.02791666666667,5,20,17.917882810711838,5,45,False,2024-04-18 09:31:03,944.8893055555557,1,1,0.25,3.9370387731481484
D20240418T095526_IFCB206,ar82b_underway,3301,2601,1200.9233333333334,275.20147569444447,5,20,17.917882810711838,5,46,False,2024-04-18 09:55:02,925.7218576388889,1,1,0.25,3.8571744068287037
D20240418T101920_IFCB206,ar82b_underway,3459,2819,1200.910138888889,289.1911979166667,5,20,17.91954604409858,5,47,False,2024-04-18 10:19:02,911.7189409722223,1,1,0.25,3.7988289207175923
D20240418T104315_IFCB206,ar82b_underway,3661,3026,1200.933611111111,306.85604166666667,5,20,17.917882810711838,5,48,False,2024-04-18 10:43:01,894.0775694444444,1,1,0.25,3.725323206018518
D20240418T110709_IFCB206,ar82b_underway,3464,2793,1200.9629166666666,289.8648263888889,5,20,17.917882810711838,5,49,False,2024-04-18 11:07:00,911.0980902777777,1,1,0.25,3.796242042824074
D20240418T113103_IFCB206,ar82b_underway,3450,2772,1201.4529166666666,287.96765625,5,20,17.917882810711838,5,50,False,2024-04-18 11:31:00,913.4852604166666,1,1,0.25,3.8061885850694437
D20240418T115457_IFCB206,ar82b_underway,3303,2653,1200.98125,275.664375,5,20,17.917882810711838,5,51,False,2024-04-18 11:54:05,925.316875,1,1,0.25,3.855486979166666
